	Sulfur transfer pathway CsdAEL	Sulfate assimilation related cluster	Stress proteins YciF, YciE	Two partner secretion pathway (TPS)	Type 4 conjugative transfer system, IncI1 type	Type III secretion systems	Siderophore Pyoverdine	Trans-envelope signaling system VreARI in Pseudomonas	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	IbrA and IbrB: co-activators of prophage gene expression	Rhamnolipids in Pseudomonas	Respiratory Systems - Shewanella (updated)	Phenazine biosynthesis	Periplasmic nitrate reductase EC 1.7.99.4	Outer membrane porins in Pseudomonas and Acinetobacter	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	Mycobacterial FadE proteins Acyl-CoA dehydrogenase	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	MexXY System of Pseudomonas aeruginosa	Heme and heme d1 biosynthesis from siroheme	Malonate decarboxylase	Salmochelin-mediated Iron Acquisition	Potential DNA repair cluster	Type III secretion system	Cholera toxin	Beta-lactamases Ambler class D	Pseudomonadaceae	Cytochrome c oxidase EC 1.9.3.1	ABC-type iron transport system	Aestuariirhabdaceae	Geothermobacteraceae	CMP-pseudaminic acid synthesis	Biogenesis of cbb3-type cytochrome c oxidases	Adenylylsulfate reductase	Coenzyme PQQ synthesis	Marinobacteraceae	Colwelliaceae	Acyclic terpene utilization	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
1862551_20180123_S	0.0	0.0	0.0	66.3735471230553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.29669339038192	0.0	0.0	0.0	0.0	2.76556446346064	230.924632698963	0.0	106.474231843235	0.0	0.0	0.0	859.8494286398256	8.29669339038192	0.0	0.0	0.0	0.0	8.29669339038192	0.0	0.0	0.0	0.0	20.7417334759548	0.0	0.0	0.0	0.0
623361_20180123_S	47.199517048548	54.0172250666716	3.1466344699032	1091.88216105641	0.0	8.39102525307521	6.29326893980641	11.5376597229784	1.0488781566344	14.6842941928816	10.488781566344	4.1955126265376	6.29326893980641	106.985571976709	5.59401683538347	100.692303036903	33.5641010123008	6.29326893980641	136.354160362472	0.0	2.622195391586	0.699252104422934	191.070637533567	2.0977563132688	205.929744752554	7.34214709644081	0.0	0.0	3648.823934926082	42.3047523175875	13.6354160362472	0.0	0.0	2.0977563132688	45.9758258658079	47.7239561268652	1.0488781566344	20.76144486444428	12.268126510807985	20.977563132688	1.0	1.0	1.0	
634207_20180510_S	1.62486165221856	0.0	0.0	365.052251198436	0.0	0.812430826109278	0.361080367159679	0.0	0.0	0.0	0.541620550739519	0.0	0.0	225.58495938301	0.0	224.7725285569	5.41620550739519	0.0	131.613793829703	0.0	0.0	0.361080367159679	174.040736970965	0.0	312.695597960282	0.812430826109278	0.0	0.0	609.6715639540396	0.541620550739519	6.49944660887422	0.0	0.0	1.08324110147904	0.541620550739519	0.0	0.541620550739519	8.534940547218866	4.152133239187556	5.95782605813471	0.0	0.0	0.0	0.0
634207_20180517_S	0.0	0.885072006961322	0.0	351.373586763645	0.0	0.885072006961322	0.0	0.0	0.0	0.0	1.77014401392264	0.0	0.0	167.721145319171	0.0	166.836073312209	5.31043204176793	0.0	73.4609765777898	0.0	0.0	0.0	165.803489304088	0.0	295.319026322761	0.885072006961322	0.0	1.77014401392264	798.7521733331104	3.24526402552485	0.885072006961322	0.0	0.0	1.77014401392264	3.24526402552485	0.885072006961322	0.0	5.055393502108293	2.722134962673697	19.4715841531491	0.0	0.0	0.0	0.0
639354_20171206_S	708.141807586332	1220.75192203315	475.617631960969	6050.91320661455	285.370579176582	2039.87117707705	905.435047510882	1247.17512380876	155.896890476095	2785.00546714923	1474.414659079	454.479070540482	871.96565859511	1186.40175972486	1102.72828743543	1117.70143510828	6148.67905318431	364.64018450341	491.471553026335	335.574662550239	303.866820419508	91.6004328221126	1358.15257126632	253.66273704585	2238.92596378664	1632.95386973266	470.332991605847	253.66273704585	281081.6866634537	2055.72509814241	465.048351250725	6.34147578824544	21.138252627484803	0.0	1955.3169313951	248.378096690728	642.083803147308	240.97607995332675	31.7073789412272	1976.45549281558	1.0	1.0		
642660_20180601_S	6.27999151528295	4.70999363646221	0.0	150.719796366791	0.0	0.0	0.0	0.0	1.56999787882074	6.27999151528295	0.0	0.0	0.0	9.41998727292443	1.04666525254716	10.9899851517452	6.27999151528295	1.56999787882074	10.9899851517452	1.56999787882074	0.0	2.09333050509432	241.25634071212	0.0	83.7332202037727	0.0	0.0	0.0	5014.825661271843	14.1299809093866	0.0	0.0	0.0	0.0	10.9899851517452	4.70999363646221	0.0	3.587142819221633	2.8697142553773065	0.0	0.0	1.0	0.0	0.0
650003_20180207_S	12.0126014997873	7.64438277259192	0.0	128.862452452264	4.36821872719538	8.19041011349134	6.91634631805936	5.46027340899423	2.73013670449711	37.1298591811608	10.9205468179885	2.18410936359769	4.36821872719538	12.5586288406867	11.1025559316216	10.374519477089	55.6947887717411	0.0	2.18410936359769	6.55232809079308	3.27616404539654	1.45607290906513	193.111669564763	2.18410936359769	112.117613998015	8.19041011349134	4.36821872719538	4.36821872719538	1694.302573779485	234.245729245852	4.36821872719538	0.0	0.3490888170968343	2.18410936359769	28.39342172677	3.27616404539654	6.00630074989365	1.3963552683873373	0.0	19.6569842723792	1.0	1.0		
650003_20180213_S	1.99274065928615	0.0	0.0	56.7931087896552	0.0	0.0	0.332123443214358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99274065928615	0.0	0.0	1.99274065928615	0.0	0.0	0.664246886428715	211.728695049153	0.0	34.2087146510788	0.0	0.0	0.0	1198.7985234771932	35.5372084239363	0.0	0.0	0.0	0.0	2.65698754571486	0.0	0.0	1.5752937233603064	0.0	0.996370329643073	0.0	1.0		
715927_20180226_S	0.0	0.0	0.0	170.194066968763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.2293707517736	0.0	12.5142696300561	10.7265168257624	0.0	12.8718201909148	0.0	0.0	0.0	190.097714856566	0.0	167.810396563038	0.0	0.0	0.0	980.0359594943312	1.90693632457997	0.0	0.0	0.0	0.0	1.19183520286248	0.0	0.0	7.763275978250406	1.5526551956500811	45.7664717899194	0.0	0.0	0.0	0.0
658355_20170925_S	0.0	0.0	5.63532257760463	61.988548353651	11.2706451552093	5.63532257760463	3.75688171840309	33.8119354656278	0.0	0.0	11.2706451552093	56.3532257760463	0.0	22.5412903104185	0.0	11.2706451552093	22.5412903104185	11.2706451552093	11.2706451552093	5.63532257760463	0.0	0.0	216.020698808178	0.0	820.878655471075	5.63532257760463	0.0	0.0	2459.724967825245	50.7179031984417	0.0	0.0	0.0	33.8119354656278	22.5412903104185	0.0	0.0	17.246099686767714	0.0	0.0	0.0	1.0	0.0	0.0
658355_20171204_S	199.600422993027	0.0	0.0	306.806303893875	0.0	0.0	0.0	0.705301848031897	0.0	0.0	0.0	3.52650924015949	0.0	331.315543112984	0.0	272.246513340312	6.34771663228707	0.0	56.0714969185358	0.0	0.0	0.235100616010632	248.677676585246	8.46362217638276	252.262960979408	0.0	0.0	0.0	2268.913744903304	301.810415803649	32.4438850094673	0.0	0.0	2.11590554409569	334.959602661148	0.0	6.34771663228707	94.27980909806682	7.666351258839344	4.93711293622328	0.0	1.0	0.0	0.0
658355_20180122_S	36.8055185354858	0.0	0.0	62.4837872811736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.7550947794487	0.0	80.8865465489165	0.0	73.1830659252102	1.71188458304585	0.0	136.950766643668	0.0	0.0	0.0	270.763078218419	0.0	133.812311574751	0.0	0.0	0.0	3069.662137654775	9.7006793039265	8.55942291522926	0.0	0.0	0.0	8.84473701240357	0.0	0.855942291522926	23.143169632650064	0.7980403321603471	3.42376916609171	0.0	1.0	0.0	0.0
658355_20180327_S	0.0	0.0	0.0	41.2982826286798	0.0	0.0	6.21694577205933	0.0	0.0	0.0	0.0	0.0	0.0	5.32881066176514	0.0	3.99660799632385	0.0	0.0	0.0	0.0	0.0	5.77287821691223	236.243939338254	0.0	476.92855422798	0.0	0.0	0.0	3357.071433797527	30.6406613051495	0.0	0.0	0.0	0.0	25.3118506433844	0.0	0.0	0.6097114845255226	0.6097114845255226	0.0	0.0	1.0	0.0	0.0
658355_20180321_S	1.2299207926617	0.614960396330852	0.0	11.0692871339553	0.0	1.2299207926617	0.0	1.2299207926617	0.0	0.0	0.0	0.0	0.0	2.45984158532341	0.0	2.45984158532341	1.2299207926617	0.0	3.68976237798511	0.0	0.307480198165426	0.0	270.685067784963	0.0	188.382868076018	1.2299207926617	0.0	0.0	2550.8642003452933	5.32965676820071	0.0	0.0	0.0	0.0	4.09973597553901	0.614960396330852	0.0	0.5301598670571117	2.650799335285559	1.2299207926617	1.0	1.0	0.0	0.0
670829_20170922_S	1.4030823802348	0.0	0.0	123.471249460662	1.4030823802348	2.1046235703522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9570240343438	0.0	25.2554828442264	2.8061647604696	0.0	16.1354473727002	0.0	0.0	0.467694126744934	202.277709817184	0.0	144.283638100812	2.1046235703522	0.0	1.4030823802348	532.5039372063566	21.6308533619532	0.0	0.0	0.0	0.0	15.6677532459553	0.0	0.0	3.1509108710435303	1.4322322141106956	14.7323649924654	0.0	0.0	0.0	0.0
