	Rhamnolipids in Pseudomonas	Aestuariirhabdaceae	Colwelliaceae	Trans-envelope signaling system VreARI in Pseudomonas	mag_3096	Salmochelin-mediated Iron Acquisition	Biogenesis of cbb3-type cytochrome c oxidases	Marinobacteraceae	Siderophore Pyoverdine	Pseudomonadaceae	Sulfur transfer pathway CsdAEL	Two partner secretion pathway (TPS)	Beta-lactamases Ambler class D	Adenylylsulfate reductase	Type 4 conjugative transfer system, IncI1 type	Sulfate assimilation related cluster	ABC-type iron transport system	Acyclic terpene utilization	Stress proteins YciF, YciE	Type III secretion system	Type III secretion systems	mag_118	CMP-pseudaminic acid synthesis	Phenazine biosynthesis	Heme and heme d1 biosynthesis from siroheme	Geothermobacteraceae	Outer membrane porins in Pseudomonas and Acinetobacter	Potential DNA repair cluster	mag_2909	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	Cytochrome c oxidase EC 1.9.3.1	Proteasome bacterial	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	mag_457	mag_129	Cholera toxin	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	Malonate decarboxylase	mag_12	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	Mycobacterial FadE proteins Acyl-CoA dehydrogenase	mag_167	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
788707_20180313_S	0.0	0.0	0.5528735047536064	0.0	0.0	0.0	0.872752036216214	3.870114533275245	0.0	2208.176777985904	0.0	70.6929149335134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.872752036216214	0.0	44.5103538470269	713.474789606755	0.0	0.0	0.872752036216214	2945.53812222972	0.0	0.0	0.0	0.0	1.30912805432432	370.919615391891	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
788707_20181116_S	2.07315391110924	0.0	2.756841101192609	6.21946173332773	0.07725	2.07315391110924	10.0202439036947	30.325252113118705	3.10973086666387	3312.8040565997853	50.7922708221765	72.5603868888236	0.0	0.0	0.0	0.0	10.3657695555462	6.21946173332773	0.0	0.0	0.0	0.0	3.10973086666387	1.03657695555462	1.38210260740616	0.0	16.585231288874	195.221993296121	0.1241	0.0	9.50195542591737	2643.27123666429	0.0	0.0	0.011705	2.07315391110924	0.0	296.633772114548	0.07777	0.0	27.9875777999748	0.0	0.0	1.0	1.0	0.0	1.0
788707_20181129_S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2588.3257583039253	15.1823827101292	106.276678970904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59119135506461	7.59119135506461	0.0	0.0	0.0	10.1215884734195	0.0	22.7735740651938	161.945415574712	0.0	15.1823827101292	15.1823827101292	2812.53639705144	0.0	0.0	0.0	0.0	0.0	576.93054298491	0.0	0.0	30.3647654202584	0.0	0.0	0.0	0.0	0.0	0.0
802187_20180321_S	0.0	0.0	2.7114246045175383	0.0	0.0	1.16206457782665	95.9348868139116	33.72334351868689	1.67853772352739	1285.554190616878	61.9767774840883	2541.04787684762	1.54941943710221	0.0	0.0	0.0	8.13445204478658	3.48619373347996	0.0	0.774709718551103	0.774709718551103	0.0	6.19767774840883	0.193677429637776	4.90649488415699	0.5083921133470385	2.71148401492886	258.882164282494	0.0	0.0	93.4170802286205	4636.63766552835	0.0	0.0	0.0	0.0	0.0	201.166290250436	0.03062	0.774709718551103	196.388913652705	0.0	1.16206457782665	0.0	0.0	0.0	0.0
802971_20180605_S	0.0	1.3946709622532305	0.0	0.0	0.0	0.0	62.9448040946945	11.157367698025842	0.0	1112.947427878078	15.7362010236736	90.4831558861234	0.0	0.0	0.0	0.0	0.0	15.7362010236736	0.0	7.86810051183682	7.86810051183682	0.0	15.7362010236736	0.0	2.62270017061227	0.0	7.86810051183682	313.412670388167	0.3195	0.0	70.8129046065314	3088.22945089595	0.0	0.0	0.104	0.0	0.0	182.277661857553	0.1948	0.0	0.0	0.0	0.0	1.0	1.0		
810653_20180115_S	0.0	0.0	4.612991835975606	1.10911199102925	0.0	0.0	94.1820932382342	106.82717935943508	6.46981994767065	2506.068512154748	244.559194021951	71.5377234213869	0.0	0.0	3.88189196860239	0.0	28.282355771246	0.0	0.0	0.0	0.0	0.0	6.1001159506609	0.554555995514627	3.51218797159264	0.0	2.21822398205851	310.181653491181	0.0	0.0	93.0729812472049	2930.27388029929	0.0	0.0	0.0295	0.0	0.0	250.382031974854	0.02929	0.0	65.9921634662406	0.0	0.554555995514627	0.0			
825012_20171123_S	0.0	0.0	2.196396090540467	2.10677494580297	0.0	0.0	16.5030704087899	17.884939594400947	0.936344420356876	3124.216553358776	32.3038825023122	388.348848343014	0.0	2.80903326107063	0.0	2.80903326107063	3.51129157633828	0.0	0.0	0.0	0.0	0.0	5.61806652214125	0.0	1.63860273562453	0.0	0.0	581.001712831442	0.0	0.0	14.396295462987	3242.32664159077	0.0	0.0	0.0	0.0	0.0	295.767793780228	0.0	0.0	49.158082068736	0.0	0.0	0.0			
825012_20171129_S	0.0	0.0	0.0	0.0	0.0	0.0	8.44797563121086	16.85487948761166	0.0	3247.373447946514	25.3439268936326	101.37570757453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3439268936326	0.0	8.44797563121086	0.0	25.3439268936326	1237.62842997239	0.0	0.0	8.44797563121086	3529.14181993834	0.0	0.0	0.0	0.0	0.0	310.463104446999	0.0	0.0	12.6719634468163	0.0	25.3439268936326	0.0			
825012_20171206_S	0.0	0.0	1.921109632923977	0.0	0.0	0.0	0.47676344206261	3.522034327027291	0.0	1739.2445876738404	2.86058065237566	131.58671000928	0.0	0.0	0.0	0.0	4.29087097856349	2.14543548928174	0.0	0.0	0.0	0.0	0.0	0.0	0.47676344206261	0.0	2.14543548928174	127.295839030717	0.0	0.0	0.834336023609567	3023.27617697952	0.0	0.0	0.0	0.0	0.0	240.646347381102	0.0	0.0	1.43029032618783	0.0	0.0	0.0			
825012_20181113_S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2012.0169781158704	0.0	1167.97370390632	0.0	15.9996397795387	0.0	15.9996397795387	0.0	15.9996397795387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.9992795590774	293.326729291543	0.0	0.0	0.0	3295.92579458497	0.0	0.0	0.0	0.0	0.0	317.326188960851	0.0	0.0	0.0	0.0	0.0	0.0			
825012_20181120_S	23.3412641762057	0.0	0.0	46.6825283524114	0.0	0.0	15.5608427841371	0.0	0.0	7025.968879925718	0.0	46.6825283524114	0.0	0.0	0.0	23.3412641762057	23.3412641762057	0.0	0.0	0.0	0.0	1.909	0.0	11.6706320881028	0.0	0.0	23.3412641762057	194.510534801714	0.0	35.0118962643085	15.5608427841371	3203.58850818423	0.0	0.0	0.0	0.0	0.0	266.479432678348	0.5931	0.0	0.0	0.3261	0.0	0.0			
825012_20181126_S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4049.211503382968	0.0	97.760236502628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400.351444725048	0.0	0.0	0.0	3666.00886884855	0.0	0.0	0.0	0.0	27.931496143608	193.192848326622	0.0	0.0	0.0	0.0	0.0	0.0			
848255_20190228_S	0.0	0.0	1.2195728763089675	0.0	0.0	0.0	25.1803902910037	56.832096035997886	0.0	2673.5476594445186	112.496563818081	194.015812961618	0.0	0.0	4.34769328765532	0.0	11.4126948800952	3.26076996574149	0.0	0.0	0.0	0.0	0.0	0.0	0.543461660956914	0.0	0.0	260.499289485348	0.0	0.0	24.6369286300468	2707.52599488735	0.0	0.0	0.0	0.0	0.0	221.732357670421	0.0	0.543461660956914	147.821571780281	0.0	0.0	0.0			
875028_20180115_S	0.0	0.0	2.8241002633799352	1.07163466973918	0.0	0.0	70.9064939810756	82.76786156521196	8.75168313620328	1761.369610421886	205.753856589922	33.2206747619145	0.0	0.0	1.60745200460877	0.535817334869589	25.7192320737403	0.0	0.0	0.0	0.0	0.0	2.14326933947836	0.0	3.21490400921753	0.0	0.535817334869589	290.412995499317	0.0	0.0	67.6915899718581	3043.17455339183	0.0	0.0	0.0	0.0	1.07163466973918	252.369964723576	0.01546	0.0	43.9370214593063	0.0	0.0	0.0	1.0		
877469_20190115_S	0.0	0.0	13.549033953879087	27.396151382131	0.0	0.0	68.4903784553274	20.323550930818637	0.0	10568.246484025687	0.0	0.0	0.0	0.0	27.396151382131	0.0	0.0	82.1884541463929	13.6980756910655	13.6980756910655	41.0942270731964	0.0	27.396151382131	0.0	0.0	0.0	136.980756910655	191.773059674917	0.0	82.1884541463929	95.8865298374583	2616.33245699351	13.6980756910655	0.0	0.0	0.0	54.7923027642619	244.282349824001	0.0	13.6980756910655	0.0	0.0	27.396151382131	0.0	0.0	0.0	0.0
892355_20180123_S	0.0	0.0	0.0	22.1465408131482	0.0	0.0	3.6910901355247	3.302171838418128	18.4554506776235	5960.42016834472	0.0	11.0732704065741	0.0	0.0	0.0	33.2198112197223	5.53663520328705	49.8297168295834	0.0	13.8415880082176	13.8415880082176	0.2544	0.0	0.0	0.0	0.0	22.1465408131482	36.910901355247	0.0	0.0	3.6910901355247	2400.13136062494	0.0	1.375	0.02784	0.0	0.0	32.2970386858411	0.1985	0.0	16.6099056098611	0.0	0.0	0.0	0.0	0.0	0.0
895293_20180502_S	68.0616597043684	1.5347280174191629	1.918410021773954	373.393827544799	2.923	12.2889107799554	112.01814826344	17.265690195965583	52.6217461603218	16982.53287675175	38.7573339983209	732.608142651187	19.8513174137741	34.5034802667979	37.8120331690935	85.5497250450741	23.6325207306835	118.162603653417	0.0	93.5847820935065	101.147188727325	0.8296	98.3112862396432	50.1009439490489	3.78120331690935	1.918410021773954	263.738931354427	261.218129143155	1.133	96.4206845811885	122.41645738494	2586.343068766	14.1795124384101	1.391	0.1609	49.1556431198216	135.178018579509	265.629533012882	5.763	15.1248132676374	31.1949273645022	7.766	28.3590248768202	1.0	1.0		
896213_20180427_S	0.0	0.0	15.980056889002524	127.004043163634	0.0	0.0	88.1972521969682	31.96011377800505	0.0	6631.723608936049	127.004043163634	127.004043163634	0.0	21.1673405272724	0.0	21.1673405272724	0.0	190.506064745451	0.0	21.1673405272724	21.1673405272724	0.0	0.0	0.0	0.0	0.0	63.5020215818171	225.784965624239	0.0	84.6693621090894	88.1972521969682	3714.8682625363	0.0	0.0	0.0	0.0	105.836702636362	201.089735009087	0.0	0.0	42.3346810545447	0.0	42.3346810545447	0.0			
913873_20180417_S	0.0	0.0	0.0	96.7283812931453	0.0	0.0	177.3353657041	75.50018875047188	16.1213968821909	6587.391468478671	96.7283812931453	0.0	0.0	48.3641906465726	0.0	48.3641906465726	0.0	290.185143879436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257.942350115054	0.0	48.3641906465726	225.699556350672	2466.5737229752	0.0	0.0	0.0	0.0	0.0	161.213968821909	0.0	0.0	0.0	0.0	0.0	0.0			
980574_20180403_S	10.5386717878589	0.0	1.307733149204506	82.2016399452992	0.2539	7.37707025150122	26.5223239994448	10.897776243370885	20.7260545161225	5529.96757693612	16.8618748605742	94.8480460907299	2.10773435757178	6.32320307271533	1.05386717878589	23.1850779332895	6.32320307271533	26.3466794696472	11.5925389666448	36.3584176681131	40.5738863832567	0.4438	0.0	18.442675628753	2.81031247676237	0.0	86.4171086604428	224.122420021799	0.2288	43.2085543302214	27.5761911782307	3477.76168999343	6.32320307271533	0.7677	0.02892	6.32320307271533	50.5856245817226	250.117810431851	1.514	3.16160153635766	57.9626948332238	2.115	4.21546871514355	1.0	1.0		
983493_20180123_S	372.993210059028	2.5535348583043507	30.64241829965221	5182.64249766229	47.63	157.049772656433	1892.23163582577	135.33734749013058	501.686773763605	172455.53019044263	549.674204297515	3494.35744160563	85.0686268555678	81.7967565918921	235.574658984649	500.59615034238	353.361988476974	1020.82352226681	65.4374052735137	1563.95398603698	1845.33482871309	49.02	0.0	598.75225825265	58.8936647461623	7.6606045749130525	2885.78957256195	2935.95824993832	21.08	817.967565918921	2078.72824085529	4112.74092144034	114.515459228649	147.7	6.64	215.943437402595	1426.5354349626	714.358340902525	90.19	183.224734765838	235.574658984649	39.11	268.293361621406	1.0	1.0		
